facilityID,facilityName,measureID,measureName,elementID,elementName
X59229,MultiCare Auburn Medical Center,187,Stroke and Stroke Rehabilitation: Thrombolytic Therapy (tPA),X187.9170,Date and time of diagnosis of acute ischemic stroke
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.2060,Gender
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6100,Diagnosis of minor blunt head trauma (non-penetrating injuries)
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6105,Onset date and timing of diagnosis of minor blunt head trauma
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6140,Diagnosis of Brain Tumor
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6145,Onset date and timing of diagnosis of Brain Tumor
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6150,Current prescription of antiplatelet medications
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6155,Prescription onset date and timing of current antiplatelet medication 
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6160,"Diagnosis of trauma, excluding head trauma"
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6165,"Onset date and timing of diagnosis of trauma, excluding head trauma"
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6265,Diagnosis of coagulopathies
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6270,Onset date and timing of diagnosis of coagulopathies
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6275,Diagnosis of Thrombocytopenia
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6280,Onset date and timing of diagnosis of Thrombocytopenia
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6285,Determination of Pregnancy
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6290,Onset date and timing of Pregnancy
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6325,Date and time of patient arrival to Emergency Department (ED)
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6350,Prescription of anticoagulant medications
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6355,Onset date and timing of prescription of anticoagulant medications
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6400,Drug or alcohol intoxication
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.6405,Onset date and timing of drug or alcohol intoxication
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.8500,Emergency Department Visit
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.8505,Date and Time of arrival (onset) to Emergency Department
X59229,MultiCare Auburn Medical Center,19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,X19.8506,Date and Time of departure (abatement) from Emergency Department
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.6100,Diagnosis of minor blunt head trauma (non-penetrating injuries)
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.6105,Onset date and timing of diagnosis of minor blunt head trauma
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.6140,Diagnosis of Brain Tumor
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.6145,Onset date and timing of diagnosis of Brain Tumor
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.6265,Diagnosis of coagulopathies
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.6270,Onset date and timing of diagnosis of coagulopathies
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.6275,Diagnosis of Thrombocytopenia
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.6280,Onset date and timing of diagnosis of Thrombocytopenia
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.6325,Date and time of patient arrival to Emergency Department (ED)
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.8500,Emergency Department Visit
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.8505,Date and Time of arrival (onset) to Emergency Department
X59229,MultiCare Auburn Medical Center,20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,X20.8506,Date and Time of departure (abatement) from Emergency Department
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6230,Onset date and timing of diagnosis of chest pain
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6235,Diagnosis of end stage liver disease
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6240,Onset date and timing of diagnosis of end stage liver disease
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6245,Diagnosis of Pulmonary and Gastrointestinal Hemorrhage
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6250,Onset date and timing of diagnosis of Pulmonary and Gastrointestinal Hemorrhage
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6255,Diagnosis of Atrial Fibrillation
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6260,Onset date and timing of diagnosis of Atrial Fibrillation
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6265,Diagnosis of coagulopathies
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6270,Onset date and timing of diagnosis of coagulopathies
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6275,Diagnosis of Thrombocytopenia
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6280,Onset date and timing of diagnosis of Thrombocytopenia
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6285,Determination of Pregnancy
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6290,Onset date and timing of Pregnancy
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6350,Prescription of anticoagulant medications
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6355,Onset date and timing of prescription of anticoagulant medications
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6570,Diagnosis of trauma
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.6575,Onset date and time of diagnosis of trauma
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.7060,Diagnosis of chest pain (non traumatic)
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.7070,"Coagulation studies (PT, PTT, or INR tests) ordered"
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.7075,"Date and timing of coagulation studies (PT, PTT, or INR tests) ordered"
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.8500,Emergency Department Visit
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.8505,Date and Time of arrival (onset) to Emergency Department
X59229,MultiCare Auburn Medical Center,21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,X21.8506,Date and Time of departure (abatement) from Emergency Department
X59229,MultiCare Auburn Medical Center,22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,X22.2060,Gender
X59229,MultiCare Auburn Medical Center,22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,X22.6285,Determination of Pregnancy
X59229,MultiCare Auburn Medical Center,22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,X22.6290,Onset date and timing of Pregnancy
X59229,MultiCare Auburn Medical Center,22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,X22.6430,D-dimer
X59229,MultiCare Auburn Medical Center,22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,X22.6435,D-dimer test results
X59229,MultiCare Auburn Medical Center,22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,X22.6440,Date of  D- dimer level
X59229,MultiCare Auburn Medical Center,22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,X22.7090,CT pulmonary angiogram (CTPA) ordered
X59229,MultiCare Auburn Medical Center,22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,X22.7095,Date and timing of CT pulmonary angiogram (CTPA) ordered
X59229,MultiCare Auburn Medical Center,22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,X22.8500,Emergency Department Visit
X59229,MultiCare Auburn Medical Center,22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,X22.8505,Date and Time of arrival (onset) to Emergency Department
X59229,MultiCare Auburn Medical Center,22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,X22.8506,Date and Time of departure (abatement) from Emergency Department
X59229,MultiCare Auburn Medical Center,23,Anti-coagulation for Acute Pulmonary Embolism Patients,X23.3340,Prescription for warfarin OR another oral anticoagulant drug
X59229,MultiCare Auburn Medical Center,23,Anti-coagulation for Acute Pulmonary Embolism Patients,X23.3345,Date and time of  prescription for warfarin OR another oral anticoagulant drug
X59229,MultiCare Auburn Medical Center,23,Anti-coagulation for Acute Pulmonary Embolism Patients,X23.4010,Diagnosis of pulmonary embolus
X59229,MultiCare Auburn Medical Center,23,Anti-coagulation for Acute Pulmonary Embolism Patients,X23.4015,Date of diagnosis of pulmonary embolus
X59229,MultiCare Auburn Medical Center,23,Anti-coagulation for Acute Pulmonary Embolism Patients,X23.8500,Emergency Department Visit
X59229,MultiCare Auburn Medical Center,23,Anti-coagulation for Acute Pulmonary Embolism Patients,X23.8505,Date and Time of arrival (onset) to Emergency Department
X59229,MultiCare Auburn Medical Center,23,Anti-coagulation for Acute Pulmonary Embolism Patients,X23.8506,Date and Time of departure (abatement) from Emergency Department
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.2060,Gender
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.4020,Pregnancy (urine/serum) test ordered
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.4025,Pregnancy (urine/serum) test ordered-Date
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.4040,Diagnosis of hysterectomy
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.8020,Date and timing of diagnosis of hysterectomy
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.8030,Diagnosis of pregnancy
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.8035,Date and timing of pregnancy
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.8500,Emergency Department Visit
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.8505,Date and Time of arrival (onset) to Emergency Department
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.8506,Date and Time of departure (abatement) from Emergency Department
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.9210,Complaint of abdominal pain
X59229,MultiCare Auburn Medical Center,24,Pregnancy Test for Female Abdominal Pain Patients,X24.9215,Date and time of complaint of abdominal pain
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6000,Diagnosis of asthma
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6005,Onset date and timing of diagnosis of asthma
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6010,Diagnosis of COPD
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6015,Onset date and timing of diagnosis of COPD
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6020,Tobacco Use Screening
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6025,Date & timing of tobacco use screening
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6030,Tobacco use cessation counseling
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6031,Date of Tobacco use cessation counseling
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6033,Date of Tobacco Use Cessation medication
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6035,Tobacco Use Cessation medication
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6040,Tobacco User
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6046,Tobacco Use Start Date
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.6060,EncounterACEP 25
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.7100,Start date and time of administration for tobacco use cessation medication
X59229,MultiCare Auburn Medical Center,25,Tobacco Screening and Cessation Intervention,X25.8506,Date and Time of departure (abatement) from Emergency Department
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.3225,Complaint of abdominal pain_PQRS254
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.3230,Date and time of complaint of abdominal pain_PQRS254
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.3235,Complaint for Vaginal Bleeding
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.3240,Date and time of complaint of vaginal bleeding
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.3245,Documentation of trans-abdominal ultrasound performed
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.3250,Date and time of documentation of trans-abdominal ultrasound performed
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.3255,Documentation of trans-vaginal ultrasound performed
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.3260,Date and time of documentation of trans-vaginal ultrasound performed
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.3265,Patient with intraUterine pregnancy
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.5135,Patient Diagnosed with intraUterine pregnancy_Date
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.5160,"Diagnosis of conditions complicating pregnancy, childbirth, or the puerperium"
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.5165,"Date and time of diagnosis of conditins complicating pregnancy, childbirth, or the puerperium"
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.6320,Patient arrival to Emergency Department (ED)
X59229,MultiCare Auburn Medical Center,254,Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,X254.6325,Date and time of patient arrival to Emergency Department (ED)
X59229,MultiCare Auburn Medical Center,255,Rh Immunoglobulin (Rhogam) for Rh-Negative Pregnant Women at Risk of Fetal Blood Exposure,X255.2060,Gender
X59229,MultiCare Auburn Medical Center,255,Rh Immunoglobulin (Rhogam) for Rh-Negative Pregnant Women at Risk of Fetal Blood Exposure,X255.5140,Date and time of Diagnosis of High Risk Pregnancy Complications
X59229,MultiCare Auburn Medical Center,255,Rh Immunoglobulin (Rhogam) for Rh-Negative Pregnant Women at Risk of Fetal Blood Exposure,X255.6320,Patient arrival to Emergency Department (ED)
X59229,MultiCare Auburn Medical Center,255,Rh Immunoglobulin (Rhogam) for Rh-Negative Pregnant Women at Risk of Fetal Blood Exposure,X255.6325,Date and time of patient arrival to Emergency Department (ED)
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.2065,Patient Deceased
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.2067,Death Date and timing
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.3200,Diagnosis of ischemic stroke
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.3205,Onset date and time of diagnosis of ischemic stroke
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6325,Date and time of patient arrival to Emergency Department (ED)
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6460,Diagnosis of septic shock
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6465,Onset date and time of diagnosis of septic shock
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6470,Diagnosis of sepsis
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6475,Onset date and time of diagnosis of sepsis
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6480,Diagnosis of infection
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6485,Onset date and time of diagnosis of infection
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6490,Diagnosis of acute hypotension
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6495,Onset date and time of diagnosis of acute hypotension
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6500,Diagnosis of second or third degree burn
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6505,Onset date and time of diagnosis of second or third degree burn
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6510,Diagnosis of seizure
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6515,Onset date and time of diagnosis of seizure
X59229,MultiCare Auburn Medical Center,26,Sepsis Management: Septic Shock: Lactate Level Measurement,X26.6520,Diagnosis of acute gastrointestinal hemorrhage
